date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-06-08,Falmouth,MA,Falmouth Public Schools District Office,,,,,Falmouth Educators’ Association; Massachusetts Teachers Association,teachers,in support of Falmouth Educators’ Association president Lori Andrade,0,rally,,,,,,,,,,,,https://www.capecodtimes.com/story/news/2021/06/08/falmouth-educators-association-hold-rally-support-association-president/7598951002/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Hackensack,NJ,Bergen County Jail,,at least 14,14,14,Movimiento Cosecha; New Sanctuary Coalition,,"against deportation of ICE detainee Marvin Jerezano Pena, abolish ICE",1,vigil; direct action,,blockaded vehicle exit from jail with their bodies,,,14,,,,,,,https://twitter.com/CosechaMovement/status/1402247388253802497,https://twitter.com/CosechaMovement/status/1402315235969716224,https://dailyvoice.com/pennsylvania/bucks/news/14-arrested-in-ice-protest-at-nj-jail/810484/,https://gothamist.com/news/14-arrested-after-protesters-block-ice-leaving-new-jersey-jail,https://documentedny.com/2021/06/09/14-protestors-arrested-at-bergen-county-jail/,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Harrisburg,PA,Pennsylvania State Capitol,,,,,,Democrats; gun safety advocates,"for gun control, against state legislation relaxing restrictions on firearm owners",1,rally,,,,,,,,,,,,https://www.abc27.com/news/this-week-in-pennsylvania/democrats-and-gun-safety-advocates-rally-at-capitol-before-wednesdays-vote/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Kalamazoo,MI,"Mt. Zion Baptist Church, 120 Roberson St",,count pic,30,40,Northside Ministerial Alliance,,"against gun violence, against neighborhood violence",0,demonstration,,,,,,,,,,,,https://wincountry.com/2021/06/07/northside-ministerial-alliance-hosting-demonstration-against-violence-tuesday/,https://wkzo.com/2021/06/08/northside-ministerial-alliance-hosts-anti-violence-rally/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Laurel,MS,Laurel Police Department,,count pic,15,20,,,"against police brutality, against police tasing of teenager, Black Lives Matter",1,protest,,,,,,,,,,,,https://www.wlox.com/2021/06/08/group-protesting-police-tasing-incident-involving-teen-laurel/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Louisville,KY,"Archdiocese of Louisville Pastoral Center, 3940 Poplar Level Rd",,count video,10,15,,Catholic parishoners,"Catholics for justice, against systemic racism, Black Catholics are not silent on injustice",0,protest,,,,,,,,,,,,https://www.whas11.com/video/news/local/parishioners-in-louisville-protest-pastoral-center/417-edc78de0-fa49-4f43-971e-a794bba00c6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Manchester,NH,Manchester City Hall,,,,,,,for defunding police,1,demonstration,,,,,,,,,,,,https://manchesterinklink.com/defund-police-activists-gather-outside-aldermanic-meeting/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Miami,FL,LoanDepot Park,,5,5,5,,,"for Donald Trump, against election fraud, Trump won, take back America, Proud Boys did nothing wrong",2,banner drop,ejected five protesters from ballpark,,,,,,,,,,,https://twitter.com/AndySlater/status/1402439355529113606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Minneapolis,MN,"Children's Minnesota Hospital-Minneapolis, 2525 Chicago Ave",,,,,Minnesota Nurses Association,nurses,against insufficient staffing at Children's Minnesota Hospital,0,picket,,,,,,,,,,,,https://www.wsws.org/en/articles/2021/06/23/minn-j23.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Minneapolis,MN,"Cup Foods, 701 W Broadway Ave",,,,,Minnesota Teen Activists,,"for justice for Winston Smith, against police brutality, against racism, for police accountability, for independent federal investigation into killing of Winston Smith and release of all footage",1,rally; caravan,,,,,,,,,,,,https://www.instagram.com/p/CP4CYFsDgwZ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Minneapolis,MN,"office of U.S. Senator Amy Klobuchar, 1200 S Washington Ave",,over 50,50,50,Minnesota Immigrant Rights Action Committee,,"for American Dream and Promise Act, for federal legislation protecting immigrant rights, for path to citizenship for DACA and TPS and DED status",1,demonstration,,noise demo,,,,,,,,,,http://www.fightbacknews.org/2021/6/10/noisy-immigrant-rights-protest-senator-klobuchar-s-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CP3FkERjlhR/,https://www.instagram.com/p/CP3epNHDzsF/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"Flushing, Queens",,,,,,,for Eric Adams for mayor of New York,0,rally,,,,,,,,,20210608-nyc-ericadams,,,https://twitter.com/MaketheRoadAct/status/1402352332814356481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"Flushing, Queens",,Marilyn & Caroline,2,2,Make the Road Action,,"against Eric Adams for mayor of New York, against privatization of public education",0,counter-protest,,disrupted campaign event,,,,,,,20210608-nyc-ericadams,,,https://twitter.com/MaketheRoadAct/status/1402352332814356481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,vigil,,,,,,,,,,,,https://www.instagram.com/p/CP1x8eVnMHt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"New York City Housing Authority, W 155th St & Amsterdam Ave, Manhattan",March to Save Black History: Save 857 Riverside Drive,,,,,,"against demolition of Black historical landmark, abolish police and prisons and ICE, Black Lives Matter",1,rally; march,,,,,,,,,,,,https://www.instagram.com/p/CP3K4AuHK9s/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,New York,NY,"New York University, Manhattan; Greenwich Village",,around 75; about 100,75,100,New Yorker Union,employees,"for collective bargaining rights, for fair pay and benefits for New Yorker employees, you can't eat prestige",0,march; demonstration,observed,,,,,,,,,,,https://www.nytimes.com/2021/06/08/business/media/new-yorker-union-anna-wintour.html?action=click&module=In%20Other%20News&pgtype=Homepage,https://twitter.com/kerrymflynn/status/1402091605935497217,https://twitter.com/newyorkerunion/status/1402407525199364096,,,,,,,,,,,,,,,,,,,,,,,,,,,
